,Date,home,visitor,hgoal,vgoal
462,02/06/2013,Real Salt Lake,San Jose Earthquakes,3,0
463,02/06/2013,Chivas USA,Seattle Sounders,0,2
464,02/06/2013,Los Angeles Galaxy,New England Revolution,0,5
465,02/06/2013,Chicago Fire,DC United,2,0
466,06/06/2013,Philadelphia Union,Columbus Crew,3,0
467,09/06/2013,New England Revolution,DC United,0,0
468,09/06/2013,Chicago Fire,Portland Timbers,2,2
469,09/06/2013,Real Salt Lake,Los Angeles Galaxy,3,1
470,09/06/2013,Seattle Sounders,Vancouver Whitecaps,3,2
471,15/06/2013,Portland Timbers,FC Dallas,1,0
472,16/06/2013,DC United,Toronto FC,1,2
473,16/06/2013,Columbus Crew,Montreal Impact,2,0
474,16/06/2013,Colorado Rapids,San Jose Earthquakes,1,2
475,16/06/2013,Vancouver Whitecaps,New England Revolution,4,3
476,20/06/2013,Montreal Impact,Houston Dynamo,2,0
477,20/06/2013,Chicago Fire,Colorado Rapids,2,1
478,20/06/2013,Vancouver Whitecaps,Chivas USA,3,1
479,20/06/2013,Los Angeles Galaxy,Portland Timbers,0,0
480,23/06/2013,DC United,San Jose Earthquakes,1,0
481,23/06/2013,Columbus Crew,Chicago Fire,1,2
482,23/06/2013,FC Dallas,Sporting Kansas City,2,2
483,23/06/2013,Houston Dynamo,Toronto FC,0,0
484,23/06/2013,Real Salt Lake,Seattle Sounders,2,0
485,23/06/2013,Philadelphia Union,New York Red Bulls,3,0
486,24/06/2013,Portland Timbers,Colorado Rapids,3,0
487,24/06/2013,Chivas USA,Los Angeles Galaxy,0,1
488,29/06/2013,Toronto FC,Real Salt Lake,0,1
489,29/06/2013,Philadelphia Union,FC Dallas,2,2
490,30/06/2013,DC United,Vancouver Whitecaps,0,1
491,30/06/2013,Montreal Impact,Colorado Rapids,3,4
492,30/06/2013,Sporting Kansas City,Columbus Crew,3,2
493,30/06/2013,Chivas USA,New England Revolution,1,1
494,30/06/2013,San Jose Earthquakes,Los Angeles Galaxy,3,2
495,30/06/2013,New York Red Bulls,Houston Dynamo,2,0
496,04/07/2013,Toronto FC,Montreal Impact,3,3
497,04/07/2013,Chicago Fire,San Jose Earthquakes,3,2
498,04/07/2013,Sporting Kansas City,Vancouver Whitecaps,1,1
499,04/07/2013,Real Salt Lake,Philadelphia Union,2,2
500,04/07/2013,Seattle Sounders,DC United,2,0
501,05/07/2013,FC Dallas,Chivas USA,0,0
502,05/07/2013,Colorado Rapids,New York Red Bulls,2,0
503,05/07/2013,Los Angeles Galaxy,Columbus Crew,2,1
504,07/07/2013,New England Revolution,San Jose Earthquakes,2,0
505,07/07/2013,Houston Dynamo,Philadelphia Union,1,0
506,07/07/2013,Vancouver Whitecaps,Seattle Sounders,2,0
507,07/07/2013,Chicago Fire,Sporting Kansas City,1,2
508,07/07/2013,Columbus Crew,Portland Timbers,1,0
509,08/07/2013,Montreal Impact,Chivas USA,1,1
510,08/07/2013,Colorado Rapids,DC United,0,0
511,08/07/2013,Los Angeles Galaxy,FC Dallas,2,0
512,13/07/2013,Philadelphia Union,Chivas USA,3,1
513,14/07/2013,New York Red Bulls,Montreal Impact,4,0
514,14/07/2013,New England Revolution,Houston Dynamo,1,2
515,14/07/2013,Sporting Kansas City,Toronto FC,3,0
516,14/07/2013,FC Dallas,Real Salt Lake,0,3
517,14/07/2013,San Jose Earthquakes,Seattle Sounders,1,0
518,14/07/2013,Portland Timbers,Los Angeles Galaxy,2,1
519,15/07/2013,Vancouver Whitecaps,Chicago Fire,3,1
520,18/07/2013,Colorado Rapids,New England Revolution,2,1
521,18/07/2013,Chivas USA,Toronto FC,1,0
522,20/07/2013,Seattle Sounders,Colorado Rapids,1,1
523,20/07/2013,Toronto FC,New York Red Bulls,0,0
524,21/07/2013,Montreal Impact,FC Dallas,0,0
525,21/07/2013,Columbus Crew,New England Revolution,0,2
526,21/07/2013,Philadelphia Union,Portland Timbers,0,0
527,21/07/2013,Chicago Fire,DC United,4,1
528,21/07/2013,Real Salt Lake,Sporting Kansas City,1,2
529,21/07/2013,Los Angeles Galaxy,Vancouver Whitecaps,2,1
530,27/07/2013,Toronto FC,Columbus Crew,2,1
531,28/07/2013,Colorado Rapids,Los Angeles Galaxy,2,0
532,28/07/2013,DC United,New England Revolution,1,2
533,28/07/2013,Montreal Impact,Sporting Kansas City,1,0
534,28/07/2013,New York Red Bulls,Real Salt Lake,4,3
535,28/07/2013,Vancouver Whitecaps,Philadelphia Union,0,1
536,28/07/2013,Houston Dynamo,Chicago Fire,1,1
537,28/07/2013,San Jose Earthquakes,Portland Timbers,2,1
538,29/07/2013,Seattle Sounders,Chivas USA,2,1
539,03/08/2013,Sporting Kansas City,New York Red Bulls,2,3
540,04/08/2013,DC United,Montreal Impact,3,1
541,04/08/2013,Philadelphia Union,Chicago Fire,1,2
542,04/08/2013,Colorado Rapids,Real Salt Lake,2,2
543,04/08/2013,Houston Dynamo,Columbus Crew,3,1
544,04/08/2013,San Jose Earthquakes,Chivas USA,2,0
545,04/08/2013,Seattle Sounders,FC Dallas,3,0
546,04/08/2013,Portland Timbers,Vancouver Whitecaps,1,1
547,05/08/2013,New England Revolution,Toronto FC,0,1
548,11/08/2013,Toronto FC,Seattle Sounders,1,2
549,11/08/2013,Columbus Crew,New York Red Bulls,2,0
550,11/08/2013,Vancouver Whitecaps,San Jose Earthquakes,2,0
551,11/08/2013,Philadelphia Union,DC United,2,0
552,11/08/2013,Chicago Fire,Montreal Impact,2,1
553,11/08/2013,Sporting Kansas City,New England Revolution,3,0
554,11/08/2013,Real Salt Lake,Houston Dynamo,1,0
555,12/08/2013,FC Dallas,Los Angeles Galaxy,3,3
556,12/08/2013,Chivas USA,Colorado Rapids,1,1
557,18/08/2013,Montreal Impact,DC United,2,1
558,18/08/2013,Columbus Crew,Toronto FC,2,0
559,18/08/2013,New England Revolution,Chicago Fire,2,0
560,18/08/2013,New York Red Bulls,Philadelphia Union,0,0
561,18/08/2013,Houston Dynamo,Seattle Sounders,3,1
562,18/08/2013,Colorado Rapids,Vancouver Whitecaps,2,0
563,18/08/2013,Los Angeles Galaxy,Real Salt Lake,4,2
564,18/08/2013,Portland Timbers,FC Dallas,2,1
565,19/08/2013,San Jose Earthquakes,Sporting Kansas City,1,0
566,22/08/2013,Chivas USA,FC Dallas,1,3
567,22/08/2013,Portland Timbers,Real Salt Lake,3,3
568,24/08/2013,Chicago Fire,Sporting Kansas City,1,0
569,25/08/2013,DC United,Toronto FC,1,1
570,25/08/2013,Montreal Impact,Houston Dynamo,5,0
571,25/08/2013,FC Dallas,San Jose Earthquakes,2,2
572,25/08/2013,Vancouver Whitecaps,Los Angeles Galaxy,0,1
573,25/08/2013,Real Salt Lake,Columbus Crew,4,0
574,25/08/2013,Chivas USA,New York Red Bulls,3,2
575,26/08/2013,New England Revolution,Philadelphia Union,5,1
576,26/08/2013,Seattle Sounders,Portland Timbers,1,0
577,31/08/2013,Toronto FC,New England Revolution,1,1
578,31/08/2013,Real Salt Lake,Portland Timbers,4,2
579,01/09/2013,Columbus Crew,Seattle Sounders,0,1
580,01/09/2013,Philadelphia Union,Montreal Impact,0,0
581,01/09/2013,New York Red Bulls,DC United,2,1
582,01/09/2013,Sporting Kansas City,Colorado Rapids,2,1
583,01/09/2013,Los Angeles Galaxy,San Jose Earthquakes,3,0
584,01/09/2013,Chicago Fire,Houston Dynamo,1,1
585,02/09/2013,Vancouver Whitecaps,Chivas USA,2,2
586,05/09/2013,Columbus Crew,Houston Dynamo,2,0
587,05/09/2013,Seattle Sounders,Chivas USA,1,0
588,08/09/2013,FC Dallas,Vancouver Whitecaps,3,1
589,08/09/2013,Sporting Kansas City,Columbus Crew,3,0
590,08/09/2013,Seattle Sounders,Chicago Fire,2,1
591,08/09/2013,Los Angeles Galaxy,Colorado Rapids,0,1
592,08/09/2013,Portland Timbers,Toronto FC,4,0
593,08/09/2013,Houston Dynamo,New York Red Bulls,1,4
594,09/09/2013,New England Revolution,Montreal Impact,2,4
595,09/09/2013,Chivas USA,DC United,1,0
596,09/09/2013,San Jose Earthquakes,Philadelphia Union,1,0
597,12/09/2013,Toronto FC,Chicago Fire,1,1
598,14/09/2013,Seattle Sounders,Real Salt Lake,2,0
599,14/09/2013,Montreal Impact,Columbus Crew,1,2
600,14/09/2013,DC United,Los Angeles Galaxy,2,2
601,15/09/2013,New York Red Bulls,Toronto FC,2,0
602,15/09/2013,Philadelphia Union,Houston Dynamo,0,1
603,15/09/2013,Chicago Fire,New England Revolution,3,2
604,15/09/2013,Colorado Rapids,FC Dallas,2,1
605,15/09/2013,Chivas USA,Portland Timbers,1,1
606,15/09/2013,San Jose Earthquakes,Vancouver Whitecaps,0,0
607,21/09/2013,Portland Timbers,Colorado Rapids,1,0
608,21/09/2013,Montreal Impact,Vancouver Whitecaps,0,3
609,21/09/2013,Toronto FC,Sporting Kansas City,1,2
610,22/09/2013,Columbus Crew,Chicago Fire,3,0
611,22/09/2013,New England Revolution,DC United,2,1
612,22/09/2013,Houston Dynamo,Chivas USA,5,1
613,22/09/2013,Real Salt Lake,San Jose Earthquakes,1,2
614,22/09/2013,Los Angeles Galaxy,Seattle Sounders,1,1
615,22/09/2013,New York Red Bulls,FC Dallas,1,0
616,28/09/2013,Sporting Kansas City,Philadelphia Union,0,1
617,28/09/2013,Toronto FC,DC United,4,1
618,29/09/2013,Vancouver Whitecaps,Real Salt Lake,0,1
619,29/09/2013,New England Revolution,Houston Dynamo,1,1
620,29/09/2013,Chicago Fire,Montreal Impact,2,2
621,29/09/2013,Portland Timbers,Los Angeles Galaxy,1,0
622,30/09/2013,FC Dallas,Columbus Crew,2,4
623,30/09/2013,Seattle Sounders,New York Red Bulls,1,1
624,30/09/2013,Chivas USA,San Jose Earthquakes,0,1
625,05/10/2013,DC United,Chicago Fire,0,3
626,05/10/2013,Houston Dynamo,Montreal Impact,1,0
627,06/10/2013,New York Red Bulls,New England Revolution,2,2
628,06/10/2013,Columbus Crew,Sporting Kansas City,0,1
629,06/10/2013,Philadelphia Union,Toronto FC,1,0
630,06/10/2013,Real Salt Lake,FC Dallas,1,1
631,06/10/2013,Colorado Rapids,Seattle Sounders,5,1
632,06/10/2013,Los Angeles Galaxy,Chivas USA,5,0
633,07/10/2013,Vancouver Whitecaps,Portland Timbers,2,2
634,10/10/2013,Houston Dynamo,Sporting Kansas City,0,0
635,10/10/2013,Seattle Sounders,Vancouver Whitecaps,1,4
636,10/10/2013,San Jose Earthquakes,Colorado Rapids,1,0
637,12/10/2013,Montreal Impact,New England Revolution,0,1
638,13/10/2013,DC United,Philadelphia Union,1,1
639,13/10/2013,FC Dallas,Chicago Fire,2,3
640,14/10/2013,Portland Timbers,Seattle Sounders,1,0
641,17/10/2013,Los Angeles Galaxy,Montreal Impact,1,0
642,19/10/2013,Sporting Kansas City,DC United,1,0
643,19/10/2013,Montreal Impact,Philadelphia Union,2,1
644,19/10/2013,FC Dallas,Seattle Sounders,2,0
645,19/10/2013,Colorado Rapids,Vancouver Whitecaps,3,2
646,20/10/2013,New England Revolution,Columbus Crew,3,2
647,20/10/2013,Chicago Fire,Toronto FC,1,0
648,20/10/2013,Portland Timbers,Real Salt Lake,0,0
649,20/10/2013,Houston Dynamo,New York Red Bulls,0,3
650,21/10/2013,Los Angeles Galaxy,San Jose Earthquakes,0,0
651,24/10/2013,Real Salt Lake,Chivas USA,2,1
652,26/10/2013,Philadelphia Union,Sporting Kansas City,1,2
653,26/10/2013,Toronto FC,Montreal Impact,1,0
654,26/10/2013,San Jose Earthquakes,FC Dallas,2,1
655,27/10/2013,Chivas USA,Portland Timbers,0,5
656,27/10/2013,DC United,Houston Dynamo,1,2
657,27/10/2013,Columbus Crew,New England Revolution,0,1
658,27/10/2013,New York Red Bulls,Chicago Fire,5,2
659,28/10/2013,Vancouver Whitecaps,Colorado Rapids,3,0
660,28/10/2013,Seattle Sounders,Los Angeles Galaxy,1,1
661,31/10/2013,Seattle Sounders,Colorado Rapids,2,0
662,01/11/2013,Houston Dynamo,Montreal Impact,3,0
663,03/11/2013,New England Revolution,Sporting Kansas City,2,1
664,03/11/2013,Seattle Sounders,Portland Timbers,1,2
665,03/11/2013,Houston Dynamo,New York Red Bulls,2,2
666,04/11/2013,Los Angeles Galaxy,Real Salt Lake,1,0
667,07/11/2013,New York Red Bulls,Houston Dynamo,1,1
668,07/11/2013,Sporting Kansas City,New England Revolution,2,1
669,08/11/2013,Real Salt Lake,Los Angeles Galaxy,1,0
670,08/11/2013,Portland Timbers,Seattle Sounders,3,2
671,09/11/2013,Houston Dynamo,Sporting Kansas City,0,0
672,11/11/2013,Real Salt Lake,Portland Timbers,4,2
673,24/11/2013,Sporting Kansas City,Houston Dynamo,2,1
674,25/11/2013,Portland Timbers,Real Salt Lake,0,1
675,07/12/2013,Sporting Kansas City,Real Salt Lake,1,1
676,08/03/2014,Seattle Sounders,Sporting Kansas City,1,0
677,09/03/2014,DC United,Columbus Crew,0,3
678,09/03/2014,Vancouver Whitecaps,New York Red Bulls,4,1
679,09/03/2014,FC Dallas,Montreal Impact,3,2
680,09/03/2014,Houston Dynamo,New England Revolution,4,0
681,09/03/2014,Los Angeles Galaxy,Real Salt Lake,0,1
682,09/03/2014,Portland Timbers,Philadelphia Union,1,1
683,09/03/2014,Chivas USA,Chicago Fire,3,2
684,15/03/2014,New York Red Bulls,Colorado Rapids,1,1
685,15/03/2014,Philadelphia Union,New England Revolution,1,0
686,15/03/2014,Seattle Sounders,Toronto FC,1,2
687,16/03/2014,Houston Dynamo,Montreal Impact,1,0
688,16/03/2014,Sporting Kansas City,FC Dallas,1,1
689,16/03/2014,San Jose Earthquakes,Real Salt Lake,3,3
690,16/03/2014,Portland Timbers,Chicago Fire,1,1
691,16/03/2014,Chivas USA,Vancouver Whitecaps,1,1
692,22/03/2014,New England Revolution,Vancouver Whitecaps,0,0
693,22/03/2014,Real Salt Lake,Los Angeles Galaxy,1,1
694,22/03/2014,Toronto FC,DC United,1,0
695,22/03/2014,Colorado Rapids,Portland Timbers,2,0
696,22/03/2014,Columbus Crew,Philadelphia Union,2,1
697,23/03/2014,FC Dallas,Chivas USA,3,1
698,23/03/2014,Sporting Kansas City,San Jose Earthquakes,1,0
699,23/03/2014,Chicago Fire,New York Red Bulls,1,1
700,23/03/2014,Montreal Impact,Seattle Sounders,0,2
701,29/03/2014,DC United,Chicago Fire,2,2
702,29/03/2014,Philadelphia Union,Montreal Impact,1,1
703,29/03/2014,Colorado Rapids,Sporting Kansas City,2,3
704,29/03/2014,Vancouver Whitecaps,Houston Dynamo,2,1
705,30/03/2014,FC Dallas,Portland Timbers,2,1
706,30/03/2014,Real Salt Lake,Toronto FC,3,0
707,30/03/2014,Seattle Sounders,Columbus Crew,1,2
708,30/03/2014,San Jose Earthquakes,New England Revolution,1,2
709,30/03/2014,New York Red Bulls,Chivas USA,1,1
710,05/04/2014,Portland Timbers,Seattle Sounders,4,4
711,05/04/2014,Montreal Impact,New York Red Bulls,2,2
712,05/04/2014,Chicago Fire,Philadelphia Union,2,2
713,05/04/2014,Columbus Crew,Toronto FC,0,2
714,05/04/2014,Vancouver Whitecaps,Colorado Rapids,1,2
715,06/04/2014,DC United,New England Revolution,2,0
716,06/04/2014,Houston Dynamo,FC Dallas,1,4
717,06/04/2014,Sporting Kansas City,Real Salt Lake,0,0
718,06/04/2014,Chivas USA,Los Angeles Galaxy,0,3
719,12/04/2014,Montreal Impact,Chicago Fire,1,1
720,12/04/2014,Philadelphia Union,Real Salt Lake,2,2
721,12/04/2014,Toronto FC,Colorado Rapids,0,1
722,12/04/2014,New England Revolution,Houston Dynamo,2,0
723,13/04/2014,DC United,New York Red Bulls,1,0
724,13/04/2014,FC Dallas,Seattle Sounders,2,3
725,13/04/2014,Los Angeles Galaxy,Vancouver Whitecaps,1,0
726,13/04/2014,Portland Timbers,Chivas USA,1,1
727,13/04/2014,San Jose Earthquakes,Columbus Crew,1,1
728,17/04/2014,New York Red Bulls,Philadelphia Union,2,1
729,19/04/2014,Chicago Fire,New England Revolution,1,1
730,19/04/2014,Philadelphia Union,Houston Dynamo,0,0
731,19/04/2014,Colorado Rapids,San Jose Earthquakes,0,0
732,20/04/2014,Vancouver Whitecaps,Los Angeles Galaxy,2,2
733,20/04/2014,Columbus Crew,DC United,1,1
734,20/04/2014,FC Dallas,Toronto FC,2,1
735,20/04/2014,Sporting Kansas City,Montreal Impact,4,0
736,20/04/2014,Real Salt Lake,Portland Timbers,1,0
737,20/04/2014,Chivas USA,Seattle Sounders,1,2
738,24/04/2014,New York Red Bulls,Houston Dynamo,4,0
739,26/04/2014,Montreal Impact,Philadelphia Union,1,0
740,26/04/2014,Seattle Sounders,Colorado Rapids,4,1
741,27/04/2014,DC United,FC Dallas,4,1
742,27/04/2014,Columbus Crew,New York Red Bulls,1,1
743,27/04/2014,New England Revolution,Sporting Kansas City,2,0
744,27/04/2014,Real Salt Lake,Vancouver Whitecaps,2,2
745,27/04/2014,San Jose Earthquakes,Chivas USA,1,0
746,27/04/2014,Houston Dynamo,Portland Timbers,1,1
747,03/05/2014,Toronto FC,New England Revolution,1,2
748,04/05/2014,Vancouver Whitecaps,San Jose Earthquakes,3,2
749,04/05/2014,Chicago Fire,Real Salt Lake,2,3
750,04/05/2014,Colorado Rapids,Los Angeles Galaxy,1,0
751,04/05/2014,Seattle Sounders,Philadelphia Union,2,1
752,04/05/2014,Chivas USA,Houston Dynamo,1,4
753,04/05/2014,Portland Timbers,DC United,3,2
754,04/05/2014,FC Dallas,New York Red Bulls,0,1
755,04/05/2014,Sporting Kansas City,Columbus Crew,2,0
756,08/05/2014,Houston Dynamo,Columbus Crew,1,0
757,08/05/2014,Seattle Sounders,FC Dallas,2,1
758,08/05/2014,San Jose Earthquakes,Colorado Rapids,0,0
759,10/05/2014,Montreal Impact,Sporting Kansas City,0,3
760,10/05/2014,Philadelphia Union,DC United,0,1
761,11/05/2014,New York Red Bulls,Chicago Fire,4,5
762,11/05/2014,Columbus Crew,Vancouver Whitecaps,0,1
763,11/05/2014,San Jose Earthquakes,FC Dallas,2,1
764,11/05/2014,Portland Timbers,Los Angeles Galaxy,1,1
765,11/05/2014,Colorado Rapids,Chivas USA,1,3
766,11/05/2014,New England Revolution,Seattle Sounders,5,0
767,12/05/2014,Houston Dynamo,Real Salt Lake,2,5
768,15/05/2014,Sporting Kansas City,Philadelphia Union,1,2
769,17/05/2014,Toronto FC,New York Red Bulls,2,0
770,18/05/2014,DC United,Montreal Impact,1,1
771,18/05/2014,Philadelphia Union,New England Revolution,3,5
772,18/05/2014,FC Dallas,Chivas USA,1,1
773,18/05/2014,Houston Dynamo,Los Angeles Galaxy,1,0
774,18/05/2014,Real Salt Lake,Colorado Rapids,2,1
775,18/05/2014,Seattle Sounders,San Jose Earthquakes,1,0
776,18/05/2014,Portland Timbers,Columbus Crew,3,3
777,18/05/2014,Chicago Fire,Sporting Kansas City,2,1
778,22/05/2014,DC United,Houston Dynamo,2,0
779,22/05/2014,Los Angeles Galaxy,FC Dallas,2,1
780,24/05/2014,Sporting Kansas City,Toronto FC,2,2
781,25/05/2014,New York Red Bulls,Portland Timbers,1,2
782,25/05/2014,Vancouver Whitecaps,Seattle Sounders,2,2
783,25/05/2014,Columbus Crew,Chicago Fire,2,0
784,25/05/2014,New England Revolution,DC United,2,1
785,25/05/2014,Colorado Rapids,Montreal Impact,4,1
786,25/05/2014,Real Salt Lake,FC Dallas,0,0
787,26/05/2014,Los Angeles Galaxy,Philadelphia Union,4,1
788,26/05/2014,San Jose Earthquakes,Houston Dynamo,3,0
789,28/05/2014,Sporting Kansas City,New York Red Bulls,1,1
790,29/05/2014,Chivas USA,Portland Timbers,0,2
791,31/05/2014,Seattle Sounders,Real Salt Lake,4,0
792,31/05/2014,Toronto FC,Columbus Crew,3,2
793,01/06/2014,DC United,Sporting Kansas City,1,0
794,01/06/2014,Montreal Impact,New England Revolution,2,0
795,01/06/2014,FC Dallas,San Jose Earthquakes,1,2
796,01/06/2014,Chivas USA,Philadelphia Union,0,3
797,01/06/2014,Chicago Fire,Los Angeles Galaxy,1,1
798,02/06/2014,Colorado Rapids,Houston Dynamo,3,0
799,02/06/2014,Portland Timbers,Vancouver Whitecaps,3,4
800,05/06/2014,Columbus Crew,Real Salt Lake,1,1
801,05/06/2014,Colorado Rapids,Chicago Fire,0,0
802,07/06/2014,Houston Dynamo,Sporting Kansas City,0,2
803,07/06/2014,Toronto FC,San Jose Earthquakes,1,0
804,07/06/2014,DC United,Columbus Crew,0,0
805,08/06/2014,Philadelphia Union,Vancouver Whitecaps,3,3
806,08/06/2014,Chicago Fire,Seattle Sounders,2,3
807,08/06/2014,FC Dallas,Colorado Rapids,3,2
808,08/06/2014,Real Salt Lake,Portland Timbers,1,3
809,08/06/2014,New England Revolution,New York Red Bulls,0,2
810,09/06/2014,Los Angeles Galaxy,Chivas USA,1,1
811,12/06/2014,Montreal Impact,DC United,2,4
812,12/06/2014,Portland Timbers,FC Dallas,2,2
813,26/06/2014,Vancouver Whitecaps,Montreal Impact,0,0
814,28/06/2014,New York Red Bulls,Toronto FC,2,2
815,28/06/2014,Portland Timbers,Sporting Kansas City,0,1
816,29/06/2014,DC United,Seattle Sounders,0,1
817,29/06/2014,New England Revolution,Philadelphia Union,1,3
818,29/06/2014,Colorado Rapids,Vancouver Whitecaps,2,0
819,29/06/2014,Chivas USA,Real Salt Lake,1,0
820,29/06/2014,San Jose Earthquakes,Los Angeles Galaxy,0,1
821,29/06/2014,Columbus Crew,FC Dallas,0,0
822,30/06/2014,Montreal Impact,Houston Dynamo,3,0
823,03/07/2014,Chicago Fire,Toronto FC,1,1
824,03/07/2014,San Jose Earthquakes,Chivas USA,0,1
825,05/07/2014,Houston Dynamo,New York Red Bulls,2,2
826,05/07/2014,FC Dallas,Philadelphia Union,2,1
827,05/07/2014,Colorado Rapids,Columbus Crew,1,1
828,05/07/2014,Real Salt Lake,New England Revolution,2,1
829,05/07/2014,Los Angeles Galaxy,Portland Timbers,2,2
830,06/07/2014,Toronto FC,DC United,1,2
831,06/07/2014,Vancouver Whitecaps,Seattle Sounders,1,0
832,06/07/2014,Chivas USA,Montreal Impact,1,0
833,06/07/2014,Sporting Kansas City,Chicago Fire,1,1
834,12/07/2014,San Jose Earthquakes,DC United,1,2
835,13/07/2014,New York Red Bulls,Columbus Crew,4,1
836,13/07/2014,Philadelphia Union,Colorado Rapids,3,3
837,13/07/2014,Toronto FC,Houston Dynamo,4,2
838,13/07/2014,Montreal Impact,Sporting Kansas City,1,2
839,13/07/2014,New England Revolution,Chicago Fire,0,1
840,13/07/2014,Vancouver Whitecaps,Chivas USA,1,3
841,13/07/2014,Los Angeles Galaxy,Real Salt Lake,1,0
842,14/07/2014,Seattle Sounders,Portland Timbers,2,0
843,17/07/2014,Philadelphia Union,New York Red Bulls,3,1
844,17/07/2014,Columbus Crew,Sporting Kansas City,1,2
845,17/07/2014,Toronto FC,Vancouver Whitecaps,1,1
846,17/07/2014,Los Angeles Galaxy,New England Revolution,5,1
847,19/07/2014,Portland Timbers,Colorado Rapids,2,1
848,19/07/2014,Sporting Kansas City,Los Angeles Galaxy,2,1
849,20/07/2014,New York Red Bulls,San Jose Earthquakes,1,1
850,20/07/2014,Columbus Crew,Montreal Impact,2,1
851,20/07/2014,Chicago Fire,Philadelphia Union,1,1
852,20/07/2014,FC Dallas,New England Revolution,2,0
853,20/07/2014,Houston Dynamo,Toronto FC,2,2
854,20/07/2014,Real Salt Lake,Vancouver Whitecaps,1,1
855,21/07/2014,DC United,Chivas USA,3,1
856,24/07/2014,San Jose Earthquakes,Chicago Fire,5,1
857,25/07/2014,Real Salt Lake,Montreal Impact,3,1
858,26/07/2014,Colorado Rapids,Chivas USA,3,0
859,27/07/2014,Toronto FC,Sporting Kansas City,1,2
860,27/07/2014,New England Revolution,Columbus Crew,1,2
861,27/07/2014,Vancouver Whitecaps,FC Dallas,2,2
862,28/07/2014,Montreal Impact,Portland Timbers,2,3
863,29/07/2014,Seattle Sounders,Los Angeles Galaxy,0,3
864,31/07/2014,DC United,Toronto FC,3,0
865,31/07/2014,New England Revolution,Colorado Rapids,3,0
866,31/07/2014,Chicago Fire,Vancouver Whitecaps,0,0
867,31/07/2014,Real Salt Lake,New York Red Bulls,1,1
868,02/08/2014,Sporting Kansas City,Philadelphia Union,1,1
869,02/08/2014,Los Angeles Galaxy,Portland Timbers,3,1
870,02/08/2014,Montreal Impact,Toronto FC,0,2
871,03/08/2014,New York Red Bulls,New England Revolution,2,1
872,03/08/2014,Chicago Fire,Columbus Crew,1,1
873,03/08/2014,Colorado Rapids,Real Salt Lake,0,1
874,03/08/2014,San Jose Earthquakes,Seattle Sounders,1,0
875,04/08/2014,Houston Dynamo,DC United,1,0
876,04/08/2014,Chivas USA,FC Dallas,0,1
877,09/08/2014,Los Angeles Galaxy,San Jose Earthquakes,2,2
878,10/08/2014,Philadelphia Union,Montreal Impact,2,1
879,10/08/2014,Columbus Crew,Toronto FC,2,3
880,10/08/2014,FC Dallas,Colorado Rapids,3,1
881,10/08/2014,Real Salt Lake,DC United,3,0
882,10/08/2014,Portland Timbers,Chivas USA,2,0
883,11/08/2014,Chicago Fire,New York Red Bulls,1,0
884,11/08/2014,Vancouver Whitecaps,Sporting Kansas City,2,0
885,11/08/2014,Seattle Sounders,Houston Dynamo,2,0
886,16/08/2014,Houston Dynamo,Philadelphia Union,2,0
887,16/08/2014,Real Salt Lake,Seattle Sounders,2,1
888,16/08/2014,Montreal Impact,Chicago Fire,1,0
889,17/08/2014,Columbus Crew,Los Angeles Galaxy,4,1
890,17/08/2014,New England Revolution,Portland Timbers,1,1
891,17/08/2014,Sporting Kansas City,Toronto FC,4,1
892,17/08/2014,Chivas USA,Vancouver Whitecaps,0,0
893,17/08/2014,San Jose Earthquakes,FC Dallas,0,5
894,18/08/2014,DC United,Colorado Rapids,4,2
895,21/08/2014,Colorado Rapids,Los Angeles Galaxy,3,4
896,21/08/2014,Seattle Sounders,San Jose Earthquakes,1,1
897,23/08/2014,FC Dallas,Real Salt Lake,2,1
898,24/08/2014,New York Red Bulls,Montreal Impact,4,2
899,24/08/2014,Toronto FC,Chicago Fire,2,2
900,24/08/2014,Columbus Crew,Houston Dynamo,3,0
901,24/08/2014,New England Revolution,Chivas USA,1,0
902,24/08/2014,Sporting Kansas City,DC United,0,3
903,24/08/2014,Los Angeles Galaxy,Vancouver Whitecaps,2,0
904,24/08/2014,Portland Timbers,Seattle Sounders,2,4
905,25/08/2014,Philadelphia Union,San Jose Earthquakes,4,2
906,28/08/2014,Los Angeles Galaxy,DC United,4,1
907,30/08/2014,Sporting Kansas City,Houston Dynamo,1,3
908,30/08/2014,Seattle Sounders,Colorado Rapids,1,0
909,30/08/2014,Toronto FC,New England Revolution,0,3
910,31/08/2014,Montreal Impact,Columbus Crew,2,0
911,31/08/2014,Chicago Fire,FC Dallas,1,0
912,31/08/2014,San Jose Earthquakes,Real Salt Lake,1,1
913,31/08/2014,Vancouver Whitecaps,Portland Timbers,0,3
914,31/08/2014,DC United,New York Red Bulls,2,0
915,01/09/2014,Chivas USA,Los Angeles Galaxy,0,3
916,04/09/2014,Philadelphia Union,Toronto FC,1,0
917,04/09/2014,New England Revolution,Sporting Kansas City,3,1
918,04/09/2014,Chivas USA,Seattle Sounders,2,4
919,06/09/2014,Los Angeles Galaxy,Colorado Rapids,6,0
920,06/09/2014,Toronto FC,Philadelphia Union,0,2
921,07/09/2014,New York Red Bulls,Sporting Kansas City,2,1
922,07/09/2014,Houston Dynamo,Montreal Impact,3,2
923,07/09/2014,Real Salt Lake,FC Dallas,2,1
924,07/09/2014,Vancouver Whitecaps,DC United,0,0
